"Cite as: CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at: http://cait.wri.org.  Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, ©OECD/IEA, 2014.",,
Country,Year,Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2)
Ghana,1952,0.8684
Greece,1952,4.8035
Grenada,1952,0.011
Guatemala,1952,0.6449
Guinea,1952,0.2793
Guinea-Bissau,1952,0.011
Guyana,1952,0.3334
Haiti,1952,0.1466
Honduras,1952,0.3591
Hungary,1952,27.2125
Iceland,1952,0.7768
India,1952,73.4962
Indonesia,1952,12.7251
Iran,1952,4.0927
Iraq,1952,1.9602
Ireland,1952,9.6217
Israel,1952,3.6603
Italy,1952,50.6475
Jamaica,1952,0.5643
Japan,1952,130.4384
Jordan,1952,0.1942
Kazakhstan,1952,56.557
Kenya,1952,1.5902
Kiribati,1952,
"Korea, Dem. Rep. (North)",1952,0.8904
"Korea, Rep. (South)",1952,3.4625
Kuwait,1952,-0.436
Kyrgyzstan,1952,3.5869
Laos,1952,0.024
Latvia,1952,3.5293
Lebanon,1952,1.1761
Lesotho,1952,
Liberia,1952,0.055
Libya,1952,0.1612
Lithuania,1952,5.9289
Luxembourg,1952,9.3982
"Macedonia, FYR",1952,1.3967
Madagascar,1952,0.3078
Malawi,1952,0.2755
Malaysia,1952,5.8545
Maldives,1952,
Mali,1952,0.0661
Malta,1952,0.2418
Mauritania,1952,0.0294
Mauritius,1952,0.1759
Mexico,1952,33.434
Moldova,1952,5.1641
Mongolia,1952,0.3004
Montenegro,1952,
Morocco,1952,3.5651
Mozambique,1952,1.0736
Myanmar,1952,1.1322
Namibia,1952,
Nauru,1952,
Nepal,1952,0.0293
Netherlands,1952,54.7218
New Zealand,1952,9.3212
Nicaragua,1952,0.2748
Niger,1952,0.0286
Nigeria,1952,2.1837
Niue,1952,
Norway,1952,9.6913
Oman,1952,
Pakistan,1952,6.8623
Palau,1952,
Panama,1952,0.7181
Papua New Guinea,1952,0.0843
Paraguay,1952,0.1026
Peru,1952,5.1919
Philippines,1952,4.0524
Poland,1952,128.0531
Portugal,1952,5.3531
Qatar,1952,0.1942
Romania,1952,26.6373
Russian Federation,1952,484.9261
Rwanda,1952,0.0293
Saint Kitts & Nevis,1952,
Saint Lucia,1952,0.0073
Saint Vincent & Grenadines,1952,0.011
Samoa,1952,0.0073
Sao Tome & Principe,1952,0.0037
Saudi Arabia,1952,-0.1722
Senegal,1952,0.3986
Serbia,1952,7.9203
Seychelles,1952,
Sierra Leone,1952,0.1795
Singapore,1952,3.507
Slovakia,1952,19.0007
Slovenia,1952,2.1697
Solomon Islands,1952,0.0037
South Africa,1952,70.8911
Spain,1952,37.6146
Sri Lanka,1952,1.9419
Sudan,1952,0.7584
Suriname,1952,0.2675
Swaziland,1952,0.0037
Sweden,1952,34.5295
Switzerland,1952,11.2338
Syria,1952,0.4763
Tajikistan,1952,1.8048
Tanzania,1952,0.5423
Thailand,1952,1.2824
Togo,1952,0.044
Tonga,1952,0.0073
Trinidad & Tobago,1952,2.792
Tunisia,1952,1.4436
Turkey,1952,10.4754
Turkmenistan,1952,8.3577
Uganda,1952,0.1429
Ukraine,1952,138.5801
United Arab Emirates,1952,
United Kingdom,1952,528.4294
United States,1952,2499.4013
Uruguay,1952,3.1547
Uzbekistan,1952,29.1645
Vanuatu,1952,
Venezuela,1952,14.9821
Vietnam,1952,1.7749
World,1952,6481.616
Yemen,1952,0.0586
Zambia,1952,2.6054
Zimbabwe,1952,4.2493
Afghanistan,1953,0.1026
Albania,1953,0.414
Algeria,1953,3.9974
Angola,1953,0.2748
Antigua & Barbuda,1953,
Argentina,1953,35.1414
Armenia,1953,3.1627
Australia,1953,59.4374
Austria,1953,21.7202
Azerbaijan,1953,11.9896
"Bahamas, The",1953,0.0806
Bahrain,1953,0.9966
Bangladesh,1953,1.4393
Barbados,1953,0.1099
Belarus,1953,26.054
Belgium,1953,82.3924
Belize,1953,0.0293
Benin,1953,0.0595
Bhutan,1953,
Bolivia,1953,0.5386
Bosnia & Herzegovina,1953,2.4513
Botswana,1953,
Brazil,1953,25.179
Brunei,1953,0.3444
Bulgaria,1953,10.589
Burkina Faso,1953,0.0289
Burundi,1953,0.0189
Cambodia,1953,0.0605
Cameroon,1953,0.2052
Canada,1953,159.3547
Cape Verde,1953,0.022
Central African Republic,1953,0.045
Chad,1953,0.0368
Chile,1953,10.3032
China,1953,134.1061
Colombia,1953,10.7648
Comoros,1953,
"Congo, Dem. Rep.",1953,2.2937
"Congo, Rep.",1953,0.1228
Cook Islands,1953,
Costa Rica,1953,0.4324
Cote d'Ivoire,1953,0.2542
Croatia,1953,2.8586
Cuba,1953,6.1922
Cyprus,1953,0.3664
Czech Republic,1953,70.5204
Denmark,1953,23.1565
Djibouti,1953,0.0293
Dominica,1953,0.0037
Dominican Republic,1953,0.6229
Ecuador,1953,0.8207
Egypt,1953,10.7832
El Salvador,1953,0.4177
Equatorial Guinea,1953,0.011
Eritrea,1953,
Estonia,1953,6.6563
Ethiopia,1953,0.1832
European Union (15),1953,1724.872
European Union (28),1953,2049.5627
Fiji,1953,0.1685
Finland,1953,7.5662
France,1953,214.5858
Gabon,1953,0.052
"Gambia, The",1953,0.011
Georgia,1953,5.4867
Germany,1953,623.5615
Ghana,1953,1.0186
Greece,1953,4.8841
Grenada,1953,0.011
Guatemala,1953,0.6815
Guinea,1953,0.2331
Guinea-Bissau,1953,0.0073
Guyana,1953,0.447
Haiti,1953,0.1576
Honduras,1953,0.3334
Hungary,1953,31.7742
Iceland,1953,0.9197
India,1953,74.8775
Indonesia,1953,13.0768
Iran,1953,3.8252
Iraq,1953,2.5318
Ireland,1953,9.5374
Israel,1953,4.0414
Italy,1953,56.0262
Jamaica,1953,0.6156
Japan,1953,145.8052
Jordan,1953,0.2125
Kazakhstan,1953,59.8228
Kenya,1953,1.5132
Kiribati,1953,
"Korea, Dem. Rep. (North)",1953,1.7367
"Korea, Rep. (South)",1953,4.6899
Kuwait,1953,-0.0513
Kyrgyzstan,1953,3.7971
Laos,1953,0.022
Latvia,1953,3.7338
Lebanon,1953,1.2494
Lesotho,1953,
Liberia,1953,0.0586
Libya,1953,0.2492
Lithuania,1953,6.2757
Luxembourg,1953,8.6544
"Macedonia, FYR",1953,1.3864
Madagascar,1953,0.2565
Malawi,1953,0.3011
Malaysia,1953,5.931
Maldives,1953,
Mali,1953,0.0552
Malta,1953,0.2308
Mauritania,1953,0.0245
Mauritius,1953,0.1869
Mexico,1953,33.0493
Moldova,1953,5.4614
Mongolia,1953,0.3041
Montenegro,1953,
Morocco,1953,4.1733
Mozambique,1953,1.0809
Myanmar,1953,1.3044
Namibia,1953,
Nauru,1953,
Nepal,1953,0.0366
Netherlands,1953,55.2678
New Zealand,1953,8.5554
Nicaragua,1953,0.2858
Niger,1953,0.0239
Nigeria,1953,2.4402
Niue,1953,
Norway,1953,9.7829
Oman,1953,
Pakistan,1953,6.9879
Palau,1953,
Panama,1953,0.7145
Papua New Guinea,1953,0.0953
Paraguay,1953,0.1209
Peru,1953,5.5143
Philippines,1953,4.0341
Poland,1953,139.2064
Portugal,1953,5.932
Qatar,1953,0.3664
Romania,1953,30.631
Russian Federation,1953,513.0423
Rwanda,1953,0.0251
Saint Kitts & Nevis,1953,
Saint Lucia,1953,0.011
Saint Vincent & Grenadines,1953,0.0073
Samoa,1953,0.0073
Sao Tome & Principe,1953,0.0037
Saudi Arabia,1953,0.4763
Senegal,1953,0.3283
Serbia,1953,7.8653
Seychelles,1953,
Sierra Leone,1953,0.1685
Singapore,1953,3.5441
Slovakia,1953,19.6946
Slovenia,1953,2.1535
Solomon Islands,1953,0.0037
South Africa,1953,71.0047
Spain,1953,38.941
Sri Lanka,1953,2.0665
Sudan,1953,0.8317
Suriname,1953,0.3114
Swaziland,1953,0.0037
Sweden,1953,32.5583
Switzerland,1953,10.3398
Syria,1953,0.513
Tajikistan,1953,1.9098
Tanzania,1953,0.5276
Thailand,1953,1.6451
Togo,1953,0.0293
Tonga,1953,0.0073
Trinidad & Tobago,1953,2.9385
Tunisia,1953,1.3777
Turkey,1953,12.9669
Turkmenistan,1953,8.8425
Uganda,1953,0.2088
Ukraine,1953,146.6122
United Arab Emirates,1953,
United Kingdom,1953,540.0883
United States,1953,2562.1289
Uruguay,1953,3.5064
Uzbekistan,1953,30.8707
Vanuatu,1953,
Venezuela,1953,15.2203
Vietnam,1953,1.6688
World,1953,6642.832
Yemen,1953,0.0696
Zambia,1953,2.8396
Zimbabwe,1953,4.6269
Afghanistan,1954,0.1099
Albania,1954,0.502
Algeria,1954,4.155
Angola,1954,0.3517
Antigua & Barbuda,1954,
Argentina,1954,36.7609
Armenia,1954,3.454
Australia,1954,67.8463
Austria,1954,24.5122
Azerbaijan,1954,13.0887
"Bahamas, The",1954,0.0843
Bahrain,1954,1.0442
Bangladesh,1954,1.4566
Barbados,1954,0.1136
Belarus,1954,28.4502
Belgium,1954,85.7523
Belize,1954,0.0293
Benin,1954,0.0698
Bhutan,1954,
Bolivia,1954,0.7878
Bosnia & Herzegovina,1954,2.932
Botswana,1954,
Brazil,1954,29.5648
Brunei,1954,0.3554
Bulgaria,1954,11.395
Burkina Faso,1954,0.0339
Burundi,1954,0.0079
Cambodia,1954,0.0959
Cameroon,1954,0.2308
Canada,1954,162.982
Cape Verde,1954,0.022
Central African Republic,1954,0.0475
Chad,1954,0.0389
Chile,1954,11.0286
China,1954,161.26
Colombia,1954,9.6253
Comoros,1954,
"Congo, Dem. Rep.",1954,2.8176
"Congo, Rep.",1954,0.1298
Cook Islands,1954,
Costa Rica,1954,0.4067
Cote d'Ivoire,1954,0.298
Croatia,1954,3.3971
Cuba,1954,5.9503
Cyprus,1954,0.4433
Czech Republic,1954,75.3067
Denmark,1954,25.582
Djibouti,1954,0.033
Dominica,1954,0.0037
Dominican Republic,1954,0.6265
Ecuador,1954,0.9636
Egypt,1954,11.6662
El Salvador,1954,0.469
Equatorial Guinea,1954,0.0293
Eritrea,1954,
Estonia,1954,7.2689
Ethiopia,1954,0.2675
European Union (15),1954,1810.2835
European Union (28),1954,2158.0526
Fiji,1954,0.1576
Finland,1954,9.16
France,1954,226.3912
Gabon,1954,0.055
"Gambia, The",1954,0.0147
Georgia,1954,5.9897
Germany,1954,659.8095
Ghana,1954,1.0039
Greece,1954,5.0856
Grenada,1954,0.011
Guatemala,1954,0.7438
Guinea,1954,0.2732
Guinea-Bissau,1954,0.0073
Guyana,1954,0.469
Haiti,1954,0.2162
Honduras,1954,0.3774
Hungary,1954,34.0092
Iceland,1954,0.7804
India,1954,78.7394
Indonesia,1954,14.7476
Iran,1954,1.0479
Iraq,1954,3.0521
Ireland,1954,9.0904
Israel,1954,4.3272
Italy,1954,64.9774
Jamaica,1954,0.7914
Japan,1954,142.5772
Jordan,1954,0.2528
Kazakhstan,1954,65.3176
Kenya,1954,1.7001
Kiribati,1954,
"Korea, Dem. Rep. (North)",1954,4.7852
"Korea, Rep. (South)",1954,5.1589
Kuwait,1954,1.4033
Kyrgyzstan,1954,4.1505
Laos,1954,0.0349
Latvia,1954,4.0778
Lebanon,1954,1.308
Lesotho,1954,
Liberia,1954,0.1026
Libya,1954,0.3004
Lithuania,1954,6.8588
Luxembourg,1954,8.7826
"Macedonia, FYR",1954,1.6528
Madagascar,1954,0.2895
Malawi,1954,0.3321
Malaysia,1954,6.4324
Maldives,1954,
Mali,1954,0.0647
Malta,1954,0.3114
Mauritania,1954,0.0288
Mauritius,1954,0.1869
Mexico,1954,32.529
Moldova,1954,5.9618
Mongolia,1954,0.491
Montenegro,1954,
Morocco,1954,3.5871
Mozambique,1954,1.1468
Myanmar,1954,1.4619
Namibia,1954,
Nauru,1954,
Nepal,1954,0.0403
Netherlands,1954,58.3968
New Zealand,1954,9.0684
Nicaragua,1954,0.3151
Niger,1954,0.028
Nigeria,1954,2.5721
Niue,1954,
Norway,1954,9.8855
Oman,1954,
Pakistan,1954,7.1025
Palau,1954,
Panama,1954,0.6339
Papua New Guinea,1954,0.0953
Paraguay,1954,0.1832
Peru,1954,6.2398
Philippines,1954,5.3311
Poland,1954,147.5859
Portugal,1954,5.7928
Qatar,1954,0.6082
Romania,1954,33.5109
Russian Federation,1954,560.3374
Rwanda,1954,0.0105
Saint Kitts & Nevis,1954,
Saint Lucia,1954,0.0073
Saint Vincent & Grenadines,1954,0.0073
Samoa,1954,0.011
Sao Tome & Principe,1954,0.0037
Saudi Arabia,1954,1.2384
Senegal,1954,0.3908
Serbia,1954,9.3918
Seychelles,1954,
Sierra Leone,1954,0.1282
Singapore,1954,3.8268
Slovakia,1954,21.0382
Slovenia,1954,2.5658
Solomon Islands,1954,0.0037
South Africa,1954,73.9102
Spain,1954,39.7361
Sri Lanka,1954,1.7844
Sudan,1954,0.8171
Suriname,1954,0.3371
Swaziland,1954,0.0037
Sweden,1954,34.5039
Switzerland,1954,12.6042
Syria,1954,0.5752
Tajikistan,1954,2.0865
Tanzania,1954,0.5386
Thailand,1954,2.0482
Togo,1954,0.033
Tonga,1954,0.0073
Trinidad & Tobago,1954,2.8359
Tunisia,1954,1.4033
Turkey,1954,13.4322
Turkmenistan,1954,9.6579
Uganda,1954,0.2198
Ukraine,1954,160.1237
United Arab Emirates,1954,
United Kingdom,1954,552.7107
United States,1954,2444.1005
Uruguay,1954,3.7373
Uzbekistan,1954,33.7392
Vanuatu,1954,
Venezuela,1954,16.4733
Vietnam,1954,2.5402
World,1954,6734.432
Yemen,1954,4.4554
Zambia,1954,3.1246
Zimbabwe,1954,5.0878
Afghanistan,1955,0.1539
Albania,1955,0.6632
Algeria,1955,4.6093
Angola,1955,0.414
Antigua & Barbuda,1955,
Argentina,1955,39.5675
Armenia,1955,3.9165
Australia,1955,70.6822
Austria,1955,29.0775
Azerbaijan,1955,14.8379
"Bahamas, The",1955,0.1282
Bahrain,1955,1.4033
Bangladesh,1955,1.5019
Barbados,1955,0.1282
Belarus,1955,32.2571
Belgium,1955,92.0397
Belize,1955,0.0293
Benin,1955,0.068
Bhutan,1955,
Bolivia,1955,0.9307
Bosnia & Herzegovina,1955,3.3591
Botswana,1955,
Brazil,1955,33.9176
Brunei,1955,0.3004
Bulgaria,1955,12.0949
Burkina Faso,1955,0.033
Burundi,1955,0.0094
Cambodia,1955,0.1026
Cameroon,1955,0.2345
Canada,1955,167.3972
Cape Verde,1955,0.022
Central African Republic,1955,0.0462
Chad,1955,0.0378
Chile,1955,11.4647
China,1955,190.8907
Colombia,1955,11.9483
Comoros,1955,
"Congo, Dem. Rep.",1955,3.3892
"Congo, Rep.",1955,0.1263
Cook Islands,1955,
Costa Rica,1955,0.3481
Cote d'Ivoire,1955,0.2904
Croatia,1955,3.8879
Cuba,1955,6.7784
Cyprus,1955,0.4507
Czech Republic,1955,78.1544
Denmark,1955,27.0696
Djibouti,1955,0.0366
Dominica,1955,0.0037
Dominican Republic,1955,0.916
Ecuador,1955,1.1981
Egypt,1955,10.6476
El Salvador,1955,0.4617
Equatorial Guinea,1955,0.0366
Eritrea,1955,
Estonia,1955,8.2418
Ethiopia,1955,0.2272
European Union (15),1955,1946.0823
European Union (28),1955,2313.166
Fiji,1955,0.1722
Finland,1955,10.9297
France,1955,239.0247
Gabon,1955,0.0535
"Gambia, The",1955,0.0147
Georgia,1955,6.7903
Germany,1955,723.5814
Ghana,1955,1.1871
Greece,1955,5.9577
Grenada,1955,0.011
Guatemala,1955,0.916
Guinea,1955,0.2662
Guinea-Bissau,1955,0.011
Guyana,1955,0.5203
Haiti,1955,0.2675
Honduras,1955,0.436
Hungary,1955,35.7093
Iceland,1955,0.9123
India,1955,85.4408
Indonesia,1955,20.8445
Iran,1955,4.1733
Iraq,1955,4.0964
Ireland,1955,11.7175
Israel,1955,4.8182
Italy,1955,73.3093
Jamaica,1955,0.9856
Japan,1955,141.9177
Jordan,1955,0.3811
Kazakhstan,1955,74.0534
Kenya,1955,1.9859
Kiribati,1955,
"Korea, Dem. Rep. (North)",1955,7.3463
"Korea, Rep. (South)",1955,6.445
Kuwait,1955,1.8467
Kyrgyzstan,1955,4.7085
Laos,1955,0.0256
Latvia,1955,4.6238
Lebanon,1955,1.6232
Lesotho,1955,
Liberia,1955,0.0586
Libya,1955,0.4287
Lithuania,1955,7.7801
Luxembourg,1955,9.8818
"Macedonia, FYR",1955,1.8925
Madagascar,1955,0.3004
Malawi,1955,0.3919
Malaysia,1955,6.9131
Maldives,1955,
Mali,1955,0.063
Malta,1955,0.3408
Mauritania,1955,0.028
Mauritius,1955,0.1282
Mexico,1955,34.863
Moldova,1955,6.7584
Mongolia,1955,0.5899
Montenegro,1955,
Morocco,1955,3.5577
Mozambique,1955,1.3703
Myanmar,1955,1.4216
Namibia,1955,
Nauru,1955,
Nepal,1955,0.044
Netherlands,1955,60.9946
New Zealand,1955,9.3945
Nicaragua,1955,0.392
Niger,1955,0.0273
Nigeria,1955,2.6967
Niue,1955,
Norway,1955,11.417
Oman,1955,
Pakistan,1955,7.3174
Palau,1955,
Panama,1955,0.7108
Papua New Guinea,1955,0.1282
Paraguay,1955,0.1905
Peru,1955,6.1262
Philippines,1955,6.6208
Poland,1955,154.2214
Portugal,1955,6.467
Qatar,1955,0.4177
Romania,1955,36.7866
Russian Federation,1955,635.3838
Rwanda,1955,0.0125
Saint Kitts & Nevis,1955,
Saint Lucia,1955,0.011
Saint Vincent & Grenadines,1955,0.0073
Samoa,1955,0.011
Sao Tome & Principe,1955,0.0037
Saudi Arabia,1955,2.1141
Senegal,1955,0.4075
Serbia,1955,10.7569
Seychelles,1955,
Sierra Leone,1955,0.1832
Singapore,1955,4.1082
Slovakia,1955,21.8545
Slovenia,1955,2.9377
Solomon Islands,1955,0.011
South Africa,1955,82.9456
Spain,1955,40.2893
Sri Lanka,1955,1.6671
Sudan,1955,0.927
Suriname,1955,0.3114
Swaziland,1955,0.0037
Sweden,1955,39.1022
Switzerland,1955,13.6228
Syria,1955,1.6451
Tajikistan,1955,2.3663
Tanzania,1955,0.5569
Thailand,1955,2.3743
Togo,1955,0.0403
Tonga,1955,0.0073
Trinidad & Tobago,1955,2.7187
Tunisia,1955,1.5975
Turkey,1955,13.6191
Turkmenistan,1955,10.9516
Uganda,1955,0.2638
Ukraine,1955,181.5667
United Arab Emirates,1955,
United Kingdom,1955,576.6403
United States,1955,2680.0768
Uruguay,1955,3.9205
Uzbekistan,1955,38.2717
Vanuatu,1955,
Venezuela,1955,23.3617
Vietnam,1955,3.5248
World,1955,7375.632
Yemen,1955,2.4842
Zambia,1955,3.684
Zimbabwe,1955,5.9965
Afghanistan,1956,0.1832
Albania,1956,0.8391
Algeria,1956,5.0014
Angola,1956,0.502
Antigua & Barbuda,1956,
Argentina,1956,44.3051
Armenia,1956,4.294
Australia,1956,73.0382
Austria,1956,28.2091
Azerbaijan,1956,16.2675
"Bahamas, The",1956,0.1392
Bahrain,1956,1.0552
Bangladesh,1956,1.7819
Barbados,1956,0.1282
Belarus,1956,35.3661
Belgium,1956,96.7992
Belize,1956,0.0293
Benin,1956,0.0791
Bhutan,1956,
Bolivia,1956,1.1029
Bosnia & Herzegovina,1956,3.8547
Botswana,1956,
Brazil,1956,36.4568
Brunei,1956,0.3004
Bulgaria,1956,12.9742
Burkina Faso,1956,0.0385
Burundi,1956,0.011
Cambodia,1956,0.1319
Cameroon,1956,0.2382
Canada,1956,186.5013
Cape Verde,1956,0.0293
Central African Republic,1956,0.061
Chad,1956,0.0499
Chile,1956,11.6222
China,1956,216.3482
Colombia,1956,12.6005
Comoros,1956,
"Congo, Dem. Rep.",1956,3.1767
"Congo, Rep.",1956,0.1666
Cook Islands,1956,
Costa Rica,1956,0.4836
Cote d'Ivoire,1956,0.338
Croatia,1956,4.4228
Cuba,1956,5.8441
Cyprus,1956,0.6742
Czech Republic,1956,83.8664
Denmark,1956,26.3771
Djibouti,1956,0.0293
Dominica,1956,0.0037
Dominican Republic,1956,0.9856
Ecuador,1956,1.2971
Egypt,1956,9.9478
El Salvador,1956,0.5276
Equatorial Guinea,1956,0.0366
Eritrea,1956,
Estonia,1956,9.0362
Ethiopia,1956,0.2418
European Union (15),1956,2041.4782
European Union (28),1956,2433.5499
Fiji,1956,0.1979
Finland,1956,12.1718
France,1956,268.5456
Gabon,1956,0.0706
"Gambia, The",1956,0.0183
Georgia,1956,7.4445
Germany,1956,766.278
Ghana,1956,1.0772
Greece,1956,6.2874
Grenada,1956,0.011
Guatemala,1956,0.9783
Guinea,1956,0.3099
Guinea-Bissau,1956,0.011
Guyana,1956,0.5496
Haiti,1956,0.2638
Honduras,1956,0.4543
Hungary,1956,33.1702
Iceland,1956,0.949
India,1956,88.4563
Indonesia,1956,21.8118
Iran,1956,10.054
Iraq,1956,6.3973
Ireland,1956,10.9224
Israel,1956,4.7962
Italy,1956,83.5209
Jamaica,1956,1.2604
Japan,1956,160.6884
Jordan,1956,0.4507
Kazakhstan,1956,81.1898
Kenya,1956,2.2204
Kiribati,1956,
"Korea, Dem. Rep. (North)",1956,8.9658
"Korea, Rep. (South)",1956,7.5552
Kuwait,1956,1.0406
Kyrgyzstan,1956,5.1629
Laos,1956,0.0586
Latvia,1956,5.0695
Lebanon,1956,1.887
Lesotho,1956,
Liberia,1956,0.0476
Libya,1956,0.3298
Lithuania,1956,8.5308
Luxembourg,1956,10.3691
"Macedonia, FYR",1956,2.162
Madagascar,1956,0.3188
Malawi,1956,0.4281
Malaysia,1956,6.985
Maldives,1956,
Mali,1956,0.0733
Malta,1956,0.2968
Mauritania,1956,0.0326
Mauritius,1956,0.2162
Mexico,1956,37.6073
Moldova,1956,7.4095
Mongolia,1956,0.6888
Montenegro,1956,
Morocco,1956,3.5248
Mozambique,1956,1.5499
Myanmar,1956,1.6561
Namibia,1956,
Nauru,1956,
Nepal,1956,0.0476
Netherlands,1956,65.0836
New Zealand,1956,9.6766
Nicaragua,1956,0.3774
Niger,1956,0.0317
Nigeria,1956,3.0155
Niue,1956,
Norway,1956,11.9556
Oman,1956,
Pakistan,1956,8.6678
Palau,1956,
Panama,1956,0.6339
Papua New Guinea,1956,0.1282
Paraguay,1956,0.1979
Peru,1956,6.3131
Philippines,1956,6.2508
Poland,1956,166.4335
Portugal,1956,7.1668
Qatar,1956,0.5056
Romania,1956,40.7876
Russian Federation,1956,696.6372
Rwanda,1956,0.0146
Saint Kitts & Nevis,1956,
Saint Lucia,1956,0.011
Saint Vincent & Grenadines,1956,0.0073
Samoa,1956,0.011
Sao Tome & Principe,1956,0.0073
Saudi Arabia,1956,1.6305
Senegal,1956,0.4708
Serbia,1956,12.3165
Seychelles,1956,
Sierra Leone,1956,0.1795
Singapore,1956,4.1535
Slovakia,1956,23.4558
Slovenia,1956,3.3536
Solomon Islands,1956,0.011
South Africa,1956,87.2728
Spain,1956,42.3522
Sri Lanka,1956,1.418
Sudan,1956,0.8977
Suriname,1956,0.3408
Swaziland,1956,0.0037
Sweden,1956,43.3854
Switzerland,1956,17.0669
Syria,1956,2.0042
Tajikistan,1956,2.5945
Tanzania,1956,0.6632
Thailand,1956,2.6234
Togo,1956,0.0403
Tonga,1956,0.0073
Trinidad & Tobago,1956,2.8836
Tunisia,1956,1.5609
Turkey,1956,14.3629
Turkmenistan,1956,12.0074
Uganda,1956,0.2638
Ukraine,1956,199.0699
United Arab Emirates,1956,
United Kingdom,1956,574.0096
United States,1956,2806.3712
Uruguay,1956,4.0194
Uzbekistan,1956,41.9643
Vanuatu,1956,
Venezuela,1956,24.3546
Vietnam,1956,2.9092
World,1956,7859.28
Yemen,1956,2.3303
Zambia,1956,4.0174
Zimbabwe,1956,6.5355
Afghanistan,1957,0.2931
Albania,1957,1.5059
Algeria,1957,5.54
Angola,1957,0.6192
Antigua & Barbuda,1957,0.022
Argentina,1957,47.6173
Armenia,1957,4.6988
Australia,1957,74.5258
Austria,1957,29.1874
Azerbaijan,1957,17.7953
"Bahamas, The",1957,0.1759
Bahrain,1957,0.7548
Bangladesh,1957,1.82
Barbados,1957,0.1392
Belarus,1957,38.6961
Belgium,1957,96.5024
Belize,1957,0.0293
Benin,1957,0.0807
Bhutan,1957,
Bolivia,1957,1.0076
Bosnia & Herzegovina,1957,4.168
Botswana,1957,
Brazil,1957,35.8083
Brunei,1957,0.2931
Bulgaria,1957,14.3922
Burkina Faso,1957,0.0392
Burundi,1957,0.0126
Cambodia,1957,0.1612
Cameroon,1957,0.2601
Canada,1957,178.642
Cape Verde,1957,0.0183
Central African Republic,1957,0.0655
Chad,1957,0.0536
Chile,1957,11.3144
China,1957,256.3444
Colombia,1957,13.6557
Comoros,1957,
"Congo, Dem. Rep.",1957,3.3306
"Congo, Rep.",1957,0.1789
Cook Islands,1957,
Costa Rica,1957,0.4617
Cote d'Ivoire,1957,0.3447
Croatia,1957,4.8306
Cuba,1957,13.8682
Cyprus,1957,0.8171
Czech Republic,1957,87.5649
Denmark,1957,24.9042
Djibouti,1957,0.044
Dominica,1957,0.0037
Dominican Republic,1957,1.0332
Ecuador,1957,1.1322
Egypt,1957,11.9227
El Salvador,1957,0.5972
Equatorial Guinea,1957,0.033
Eritrea,1957,
Estonia,1957,9.8874
Ethiopia,1957,0.3224
European Union (15),1957,2064.5687
European Union (28),1957,2488.5188
Fiji,1957,0.1612
Finland,1957,12.2451
France,1957,277.548
Gabon,1957,0.0758
"Gambia, The",1957,0.022
Georgia,1957,8.1438
Germany,1957,778.0028
Ghana,1957,1.2897
Greece,1957,6.8187
Grenada,1957,0.011
Guatemala,1957,0.9856
Guinea,1957,0.316
Guinea-Bissau,1957,0.011
Guyana,1957,0.5386
Haiti,1957,0.2528
Honduras,1957,0.5752
Hungary,1957,38.45
Iceland,1957,0.9636
India,1957,99.2358
Indonesia,1957,22.4164
Iran,1957,13.1391
Iraq,1957,5.9723
Ireland,1957,9.7206
Israel,1957,5.1736
Italy,1957,87.1263
Jamaica,1957,1.6048
Japan,1957,188.1317
Jordan,1957,0.4946
Kazakhstan,1957,88.8267
Kenya,1957,2.2827
Kiribati,1957,
"Korea, Dem. Rep. (North)",1957,11.2924
"Korea, Rep. (South)",1957,8.2147
Kuwait,1957,2.1984
Kyrgyzstan,1957,5.6535
Laos,1957,0.0586
Latvia,1957,5.5475
Lebanon,1957,2.0665
Lesotho,1957,
Liberia,1957,0.0843
Libya,1957,0.3114
Lithuania,1957,9.3404
Luxembourg,1957,10.8344
"Macedonia, FYR",1957,2.3498
Madagascar,1957,0.3151
Malawi,1957,0.4423
Malaysia,1957,2.9788
Maldives,1957,
Mali,1957,0.0748
Malta,1957,0.3078
Mauritania,1957,0.0333
Mauritius,1957,0.2198
Mexico,1957,43.2279
Moldova,1957,8.1051
Mongolia,1957,0.7621
Montenegro,1957,
Morocco,1957,3.0594
Mozambique,1957,1.7697
Myanmar,1957,2.0995
Namibia,1957,
Nauru,1957,
Nepal,1957,0.055
Netherlands,1957,64.4095
New Zealand,1957,10.3068
Nicaragua,1957,0.4177
Niger,1957,0.0324
Nigeria,1957,3.184
Niue,1957,
Norway,1957,11.3621
Oman,1957,
Pakistan,1957,8.9742
Palau,1957,
Panama,1957,0.7621
Papua New Guinea,1957,0.1466
Paraguay,1957,0.2125
Peru,1957,6.6758
Philippines,1957,6.7308
Poland,1957,178.7006
Portugal,1957,7.786
Qatar,1957,0.3114
Romania,1957,45.9392
Russian Federation,1957,762.3508
Rwanda,1957,0.0167
Saint Kitts & Nevis,1957,
Saint Lucia,1957,0.011
Saint Vincent & Grenadines,1957,0.0073
Samoa,1957,0.0147
Sao Tome & Principe,1957,0.011
